Q1_1w_female.sql,0m7.742s,0m7.683s,0m7.833s,0m7.660s,0m7.700s,0m7.765s,0m7.777s,0m7.793s,0m7.758s,0m7.783s
Q1_1w_male.sql,0m7.704s,0m7.846s,0m7.859s,0m7.791s,0m7.812s,0m7.755s,0m7.889s,0m7.740s,0m7.809s,0m7.744s
Q1_2w_female.sql,0m7.830s,0m7.848s,0m7.725s,0m7.831s,0m7.781s,0m7.801s,0m7.735s,0m7.758s,0m7.767s,0m7.748s
Q1_2w_male.sql,0m8.066s,0m7.918s,0m7.773s,0m8.004s,0m8.043s,0m7.928s,0m8.065s,0m8.044s,0m8.150s,0m7.935s
Q1_3w_female.sql,0m7.904s,0m8.024s,0m7.955s,0m8.410s,0m8.026s,0m7.980s,0m7.864s,0m7.961s,0m8.636s,0m8.641s
Q1_3w_male.sql,0m7.962s,0m8.457s,0m8.104s,0m8.044s,0m8.403s,0m8.092s,0m8.334s,0m8.003s,0m8.010s,0m8.120s
Q2_1w_female.sql,0m8.778s,0m8.228s,0m8.171s,0m8.157s,0m8.260s,0m8.371s,0m8.428s,0m8.362s,0m8.508s,0m8.286s
Q2_1w_male.sql,0m8.182s,0m8.240s,0m8.240s,0m8.260s,0m8.213s,0m8.450s,0m8.457s,0m8.336s,0m8.587s,0m8.325s
Q2_2w_female.sql,0m8.403s,0m8.442s,0m8.455s,0m8.587s,0m8.991s,0m8.651s,0m8.218s,0m8.290s,0m8.304s,0m8.296s
Q2_2w_male.sql,0m8.281s,0m8.279s,0m8.391s,0m8.360s,0m8.365s,0m8.356s,0m8.317s,0m8.467s,0m8.343s,0m8.241s
Q2_3w_female.sql,0m8.777s,0m8.942s,0m8.494s,0m8.597s,0m8.455s,0m8.326s,0m8.491s,0m8.510s,0m8.596s,0m8.862s
Q2_3w_male.sql,0m8.778s,0m8.578s,0m8.581s,0m8.555s,0m8.672s,0m8.678s,0m8.579s,0m8.651s,0m8.600s,0m8.838s
Q3_1w_female.sql,0m9.043s,0m8.868s,0m8.919s,0m9.173s,0m8.697s,0m8.721s,0m8.690s,0m8.647s,0m8.727s,0m8.831s
Q3_1w_male.sql,0m8.772s,0m8.992s,0m8.934s,0m8.664s,0m8.695s,0m8.708s,0m8.694s,0m8.707s,0m8.602s,0m8.898s
Q3_2w_female.sql,0m8.691s,0m8.685s,0m8.814s,0m8.734s,0m8.880s,0m8.686s,0m8.755s,0m8.716s,0m8.768s,0m8.804s
Q3_2w_male.sql,0m8.843s,0m8.850s,0m8.921s,0m8.973s,0m8.736s,0m8.766s,0m8.783s,0m8.715s,0m8.578s,0m8.628s
Q3_3w_female.sql,0m8.728s,0m8.611s,0m8.781s,0m8.818s,0m8.890s,0m8.900s,0m8.772s,0m9.000s,0m9.041s,0m9.047s
Q3_3w_male.sql,0m8.919s,0m8.946s,0m8.859s,0m8.724s,0m8.766s,0m9.076s,0m8.754s,0m8.940s,0m8.912s,0m9.170s
Q4_1w_female.sql,0m9.151s,0m8.870s,0m8.944s,0m8.893s,0m8.992s,0m8.940s,0m8.981s,0m8.846s,0m8.868s,0m8.867s
Q4_1w_male.sql,0m8.961s,0m9.053s,0m9.033s,0m8.932s,0m8.982s,0m8.930s,0m8.934s,0m9.026s,0m8.933s,0m8.894s
Q4_2w_female.sql,0m8.956s,0m8.953s,0m9.087s,0m9.123s,0m9.122s,0m9.297s,0m9.104s,0m9.137s,0m9.133s,0m9.204s
Q4_2w_male.sql,0m9.200s,0m9.322s,0m9.107s,0m9.066s,0m9.102s,0m9.171s,0m9.007s,0m9.011s,0m9.098s,0m9.104s
Q4_3w_female.sql,0m9.258s,0m9.416s,0m9.168s,0m9.170s,0m9.224s,0m9.264s,0m9.145s,0m9.093s,0m9.049s,0m9.185s
Q4_3w_male.sql,0m9.193s,0m9.316s,0m9.369s,0m9.217s,0m9.340s,0m9.339s,0m9.695s,0m9.306s,0m9.256s,0m9.355s
