Q1_1w_female.sql,0m4.033s,0m3.944s,0m3.918s,0m3.922s,0m3.851s,0m3.845s,0m3.886s,0m4.021s,0m3.941s,0m4.013s
Q1_1w_male.sql,0m3.975s,0m3.955s,0m3.956s,0m3.892s,0m3.985s,0m3.902s,0m3.988s,0m3.938s,0m3.867s,0m3.938s
Q1_2w_female.sql,0m4.010s,0m4.024s,0m4.069s,0m4.003s,0m4.125s,0m4.199s,0m4.108s,0m4.096s,0m4.141s,0m3.988s
Q1_2w_male.sql,0m3.976s,0m4.198s,0m4.001s,0m3.995s,0m3.941s,0m4.173s,0m4.058s,0m4.083s,0m3.951s,0m4.024s
Q1_3w_female.sql,0m4.098s,0m4.221s,0m3.997s,0m4.178s,0m4.080s,0m4.104s,0m3.986s,0m4.036s,0m3.961s,0m4.091s
Q1_3w_male.sql,0m4.012s,0m3.934s,0m3.955s,0m4.097s,0m3.988s,0m3.996s,0m4.072s,0m4.038s,0m4.048s,0m4.073s
Q2_1w_female.sql,0m4.495s,0m4.265s,0m4.158s,0m4.208s,0m4.134s,0m4.151s,0m4.170s,0m4.142s,0m4.163s,0m4.122s
Q2_1w_male.sql,0m4.131s,0m4.158s,0m4.126s,0m4.193s,0m4.197s,0m4.284s,0m4.172s,0m4.230s,0m4.168s,0m4.149s
Q2_2w_female.sql,0m4.247s,0m4.349s,0m4.264s,0m4.176s,0m4.214s,0m4.170s,0m4.275s,0m4.198s,0m4.209s,0m4.203s
Q2_2w_male.sql,0m4.186s,0m4.173s,0m4.156s,0m4.204s,0m4.207s,0m4.271s,0m4.182s,0m4.114s,0m4.104s,0m4.081s
Q2_3w_female.sql,0m4.148s,0m4.184s,0m4.215s,0m4.214s,0m4.200s,0m4.291s,0m4.167s,0m4.228s,0m4.287s,0m4.113s
Q2_3w_male.sql,0m4.247s,0m4.116s,0m4.118s,0m4.228s,0m4.264s,0m4.282s,0m4.255s,0m4.216s,0m4.191s,0m4.336s
Q3_1w_female.sql,0m4.478s,0m4.478s,0m4.489s,0m4.431s,0m4.533s,0m4.530s,0m4.506s,0m4.419s,0m4.544s,0m4.537s
Q3_1w_male.sql,0m4.473s,0m4.431s,0m4.514s,0m4.514s,0m4.505s,0m4.534s,0m4.551s,0m4.462s,0m4.481s,0m4.516s
Q3_2w_female.sql,0m4.508s,0m4.500s,0m4.499s,0m4.470s,0m4.445s,0m4.516s,0m4.435s,0m4.509s,0m4.650s,0m4.503s
Q3_2w_male.sql,0m4.565s,0m4.627s,0m4.472s,0m4.529s,0m4.501s,0m4.440s,0m4.524s,0m4.562s,0m4.578s,0m4.482s
Q3_3w_female.sql,0m4.565s,0m4.615s,0m4.564s,0m4.594s,0m4.573s,0m4.587s,0m4.587s,0m4.634s,0m4.572s,0m4.538s
Q3_3w_male.sql,0m4.559s,0m4.701s,0m4.716s,0m4.597s,0m4.693s,0m4.614s,0m4.638s,0m4.540s,0m4.463s,0m4.486s
Q4_1w_female.sql,0m4.661s,0m4.688s,0m4.655s,0m4.655s,0m4.656s,0m4.671s,0m4.663s,0m4.626s,0m4.712s,0m4.757s
Q4_1w_male.sql,0m4.812s,0m4.666s,0m4.738s,0m4.761s,0m4.806s,0m4.798s,0m4.726s,0m4.713s,0m4.765s,0m4.720s
Q4_2w_female.sql,0m4.775s,0m4.745s,0m4.784s,0m4.867s,0m4.799s,0m4.859s,0m4.826s,0m4.734s,0m4.805s,0m4.738s
Q4_2w_male.sql,0m4.813s,0m4.837s,0m4.824s,0m4.861s,0m4.747s,0m4.766s,0m4.747s,0m4.785s,0m4.767s,0m4.862s
Q4_3w_female.sql,0m4.824s,0m4.921s,0m4.763s,0m4.960s,0m5.045s,0m4.935s,0m4.942s,0m5.048s,0m4.795s,0m4.668s
Q4_3w_male.sql,0m4.816s,0m4.813s,0m4.793s,0m5.069s,0m4.868s,0m4.843s,0m4.819s,0m4.790s,0m4.739s,0m4.803s
