Q1_1w_female.sql,0m8.586s,0m8.588s,0m8.545s,0m8.551s,0m8.578s,0m8.580s,0m8.289s,0m8.420s,0m8.872s,0m8.590s
Q1_1w_male.sql,0m8.634s,0m8.506s,0m8.548s,0m8.346s,0m8.649s,0m8.707s,0m8.523s,0m8.462s,0m8.515s,0m8.390s
Q1_2w_female.sql,0m8.598s,0m8.565s,0m8.582s,0m8.646s,0m8.670s,0m8.595s,0m8.597s,0m8.492s,0m8.610s,0m8.498s
Q1_2w_male.sql,0m8.703s,0m8.623s,0m8.607s,0m8.496s,0m8.835s,0m8.426s,0m8.654s,0m8.707s,0m8.609s,0m8.580s
Q1_3w_female.sql,0m8.508s,0m8.582s,0m8.473s,0m8.537s,0m8.679s,0m8.695s,0m8.694s,0m8.630s,0m8.565s,0m8.462s
Q1_3w_male.sql,0m8.667s,0m8.451s,0m8.536s,0m8.534s,0m8.498s,0m8.539s,0m8.567s,0m8.518s,0m8.632s,0m8.577s
Q2_1w_female.sql,0m8.232s,0m8.267s,0m8.428s,0m8.315s,0m8.394s,0m8.454s,0m8.403s,0m8.328s,0m8.317s,0m8.334s
Q2_1w_male.sql,0m8.357s,0m8.402s,0m8.424s,0m9.035s,0m8.555s,0m8.284s,0m8.410s,0m8.549s,0m8.420s,0m8.415s
Q2_2w_female.sql,0m8.499s,0m8.492s,0m8.319s,0m8.391s,0m8.391s,0m8.476s,0m8.291s,0m8.384s,0m8.386s,0m8.482s
Q2_2w_male.sql,0m8.474s,0m8.505s,0m8.372s,0m8.635s,0m8.395s,0m8.422s,0m8.464s,0m8.301s,0m8.491s,0m8.456s
Q2_3w_female.sql,0m8.743s,0m8.415s,0m8.459s,0m8.480s,0m8.681s,0m8.474s,0m8.347s,0m8.393s,0m8.313s,0m8.345s
Q2_3w_male.sql,0m8.331s,0m8.380s,0m8.469s,0m8.294s,0m8.395s,0m8.425s,0m8.545s,0m9.163s,0m9.092s,0m8.597s
Q3_1w_female.sql,0m8.771s,0m8.745s,0m8.675s,0m9.061s,0m8.726s,0m8.703s,0m8.746s,0m8.511s,0m9.732s,0m8.949s
Q3_1w_male.sql,0m8.852s,0m8.927s,0m8.940s,0m8.814s,0m8.776s,0m8.874s,0m8.722s,0m8.703s,0m8.669s,0m8.627s
Q3_2w_female.sql,0m8.766s,0m8.728s,0m8.922s,0m8.952s,0m8.889s,0m8.814s,0m8.959s,0m8.898s,0m8.879s,0m9.122s
Q3_2w_male.sql,0m8.775s,0m8.886s,0m8.697s,0m8.930s,0m8.912s,0m9.000s,0m8.820s,0m8.793s,0m8.843s,0m8.745s
Q3_3w_female.sql,0m9.043s,0m8.940s,0m8.864s,0m8.801s,0m8.892s,0m9.197s,0m8.948s,0m9.026s,0m8.971s,0m8.868s
Q3_3w_male.sql,0m8.977s,0m8.817s,0m8.840s,0m8.895s,0m8.864s,0m8.727s,0m8.720s,0m9.008s,0m8.974s,0m8.842s
Q4_1w_female.sql,0m9.257s,0m9.425s,0m9.663s,0m9.455s,0m9.506s,0m9.613s,0m9.524s,0m9.644s,0m9.555s,0m9.470s
Q4_1w_male.sql,0m9.634s,0m9.713s,0m9.510s,0m9.593s,0m9.671s,0m9.721s,0m9.688s,0m9.764s,0m9.686s,0m9.793s
Q4_2w_female.sql,0m9.662s,0m9.723s,0m9.702s,0m9.546s,0m9.885s,0m9.591s,0m9.530s,0m9.450s,0m9.612s,0m9.486s
Q4_2w_male.sql,0m9.578s,0m9.421s,0m9.383s,0m9.429s,0m9.318s,0m9.456s,0m9.416s,0m9.487s,0m9.442s,0m9.474s
Q4_3w_female.sql,0m9.478s,0m9.680s,0m9.499s,0m9.400s,0m9.576s,0m9.460s,0m9.481s,0m9.417s,0m9.355s,0m9.350s
Q4_3w_male.sql,0m9.639s,0m9.371s,0m9.382s,0m9.370s,0m9.359s,0m9.263s,0m9.108s,0m9.261s,0m9.329s,0m9.318s
