Q1_1w_female.sql,0m3.767s,0m3.671s,0m3.769s,0m3.796s,0m3.721s,0m3.868s,0m3.818s,0m3.902s,0m3.733s,0m3.835s
Q1_1w_male.sql,0m3.787s,0m3.761s,0m3.798s,0m3.834s,0m3.712s,0m3.799s,0m3.726s,0m3.810s,0m3.691s,0m3.738s
Q1_2w_female.sql,0m3.826s,0m3.754s,0m3.811s,0m3.783s,0m3.832s,0m3.790s,0m3.861s,0m3.741s,0m3.755s,0m3.752s
Q1_2w_male.sql,0m3.820s,0m3.836s,0m3.813s,0m3.783s,0m3.805s,0m3.865s,0m3.753s,0m3.766s,0m3.835s,0m3.755s
Q1_3w_female.sql,0m3.883s,0m3.865s,0m4.136s,0m4.442s,0m4.048s,0m4.091s,0m4.105s,0m4.036s,0m4.283s,0m4.038s
Q1_3w_male.sql,0m4.060s,0m4.077s,0m4.103s,0m4.062s,0m4.071s,0m4.197s,0m4.027s,0m3.995s,0m4.056s,0m4.018s
Q2_1w_female.sql,0m3.123s,0m3.129s,0m3.017s,0m3.121s,0m3.097s,0m3.067s,0m3.221s,0m3.024s,0m3.071s,0m3.122s
Q2_1w_male.sql,0m3.060s,0m2.910s,0m2.944s,0m3.038s,0m2.956s,0m3.109s,0m3.018s,0m3.024s,0m2.986s,0m3.028s
Q2_2w_female.sql,0m3.158s,0m3.015s,0m3.047s,0m3.016s,0m3.017s,0m3.026s,0m3.054s,0m3.011s,0m3.036s,0m3.088s
Q2_2w_male.sql,0m3.036s,0m2.982s,0m2.989s,0m3.061s,0m3.059s,0m3.225s,0m3.091s,0m2.992s,0m3.035s,0m3.162s
Q2_3w_female.sql,0m3.432s,0m3.023s,0m2.997s,0m2.998s,0m3.169s,0m3.381s,0m3.048s,0m3.196s,0m3.115s,0m3.018s
Q2_3w_male.sql,0m3.134s,0m3.085s,0m3.067s,0m3.093s,0m3.112s,0m3.088s,0m3.043s,0m3.090s,0m3.089s,0m3.090s
Q3_1w_female.sql,0m5.128s,0m4.974s,0m4.964s,0m4.975s,0m4.936s,0m4.987s,0m4.968s,0m5.025s,0m5.122s,0m5.312s
Q3_1w_male.sql,0m5.052s,0m5.075s,0m5.001s,0m5.096s,0m5.070s,0m4.953s,0m5.026s,0m4.964s,0m4.970s,0m5.015s
Q3_2w_female.sql,0m5.047s,0m5.182s,0m5.243s,0m4.985s,0m4.944s,0m4.922s,0m4.993s,0m5.006s,0m5.143s,0m5.133s
Q3_2w_male.sql,0m5.029s,0m5.036s,0m5.040s,0m5.047s,0m4.994s,0m5.012s,0m4.993s,0m5.001s,0m5.013s,0m5.087s
Q3_3w_female.sql,0m5.073s,0m5.051s,0m5.119s,0m5.038s,0m5.048s,0m5.198s,0m5.140s,0m5.169s,0m5.216s,0m5.129s
Q3_3w_male.sql,0m5.233s,0m5.060s,0m5.133s,0m5.050s,0m5.220s,0m5.076s,0m5.159s,0m4.984s,0m5.028s,0m4.990s
Q4_1w_female.sql,0m3.794s,0m3.739s,0m3.726s,0m3.762s,0m3.659s,0m3.760s,0m3.701s,0m3.634s,0m3.841s,0m3.748s
Q4_1w_male.sql,0m3.716s,0m3.651s,0m3.691s,0m3.714s,0m3.731s,0m3.685s,0m3.739s,0m3.693s,0m3.702s,0m3.767s
Q4_2w_female.sql,0m3.735s,0m3.823s,0m3.711s,0m3.761s,0m4.004s,0m4.171s,0m4.265s,0m3.870s,0m3.759s,0m3.976s
Q4_2w_male.sql,0m3.950s,0m3.790s,0m3.812s,0m3.818s,0m3.915s,0m3.821s,0m3.794s,0m3.779s,0m3.826s,0m3.779s
Q4_3w_female.sql,0m3.904s,0m3.828s,0m3.872s,0m3.950s,0m3.874s,0m3.811s,0m3.803s,0m3.830s,0m3.844s,0m3.929s
Q4_3w_male.sql,0m3.848s,0m3.885s,0m3.848s,0m3.875s,0m3.799s,0m3.817s,0m3.841s,0m3.816s,0m3.846s,0m3.875s
