Q1_1w_female.sql,0m5.707s,0m5.776s,0m5.792s,0m5.678s,0m5.672s,0m5.851s,0m5.730s,0m5.939s,0m5.763s,0m5.958s
Q1_1w_male.sql,0m5.752s,0m5.698s,0m5.730s,0m5.740s,0m5.692s,0m5.704s,0m5.660s,0m5.730s,0m5.634s,0m5.733s
Q1_2w_female.sql,0m5.795s,0m5.833s,0m5.749s,0m5.786s,0m5.747s,0m5.850s,0m5.789s,0m5.692s,0m5.787s,0m5.719s
Q1_2w_male.sql,0m5.788s,0m5.781s,0m5.789s,0m5.783s,0m5.808s,0m5.744s,0m5.777s,0m5.860s,0m5.819s,0m5.761s
Q1_3w_female.sql,0m6.080s,0m5.965s,0m5.853s,0m5.921s,0m5.873s,0m5.950s,0m5.942s,0m5.941s,0m5.912s,0m6.072s
Q1_3w_male.sql,0m6.023s,0m6.043s,0m5.940s,0m5.904s,0m5.957s,0m5.838s,0m6.125s,0m5.915s,0m5.913s,0m5.877s
Q2_1w_female.sql,0m2.607s,0m2.650s,0m2.614s,0m2.628s,0m2.616s,0m2.658s,0m2.626s,0m2.629s,0m2.682s,0m2.638s
Q2_1w_male.sql,0m2.684s,0m2.658s,0m2.637s,0m2.629s,0m2.628s,0m2.680s,0m2.648s,0m2.620s,0m2.646s,0m2.607s
Q2_2w_female.sql,0m2.675s,0m2.673s,0m2.695s,0m2.678s,0m2.686s,0m2.674s,0m2.652s,0m2.737s,0m2.688s,0m2.693s
Q2_2w_male.sql,0m2.749s,0m2.870s,0m2.735s,0m2.718s,0m2.676s,0m2.681s,0m2.680s,0m2.712s,0m2.692s,0m2.739s
Q2_3w_female.sql,0m2.727s,0m2.773s,0m2.749s,0m2.773s,0m2.748s,0m2.723s,0m2.742s,0m2.751s,0m2.801s,0m2.825s
Q2_3w_male.sql,0m2.767s,0m2.741s,0m2.746s,0m2.733s,0m2.755s,0m2.738s,0m2.840s,0m2.769s,0m2.796s,0m2.842s
Q3_1w_female.sql,0m4.682s,0m4.656s,0m4.665s,0m4.774s,0m4.780s,0m4.714s,0m4.772s,0m4.696s,0m4.739s,0m4.777s
Q3_1w_male.sql,0m4.759s,0m4.705s,0m4.740s,0m4.773s,0m4.742s,0m4.735s,0m4.743s,0m4.765s,0m4.983s,0m4.715s
Q3_2w_female.sql,0m4.734s,0m4.728s,0m4.840s,0m4.809s,0m4.944s,0m4.809s,0m4.777s,0m4.751s,0m4.790s,0m4.716s
Q3_2w_male.sql,0m4.771s,0m4.778s,0m4.757s,0m4.770s,0m4.762s,0m4.748s,0m4.738s,0m4.756s,0m4.828s,0m4.742s
Q3_3w_female.sql,0m4.815s,0m4.867s,0m4.836s,0m4.815s,0m4.811s,0m4.856s,0m4.847s,0m4.902s,0m4.911s,0m4.823s
Q3_3w_male.sql,0m5.004s,0m4.949s,0m5.009s,0m4.883s,0m4.824s,0m4.867s,0m4.829s,0m4.851s,0m4.894s,0m4.882s
Q4_1w_female.sql,0m2.620s,0m2.621s,0m2.641s,0m2.618s,0m2.622s,0m2.688s,0m2.655s,0m2.664s,0m2.578s,0m2.614s
Q4_1w_male.sql,0m2.598s,0m2.660s,0m2.625s,0m2.648s,0m2.609s,0m2.609s,0m2.625s,0m2.614s,0m2.601s,0m2.636s
Q4_2w_female.sql,0m2.721s,0m2.689s,0m2.652s,0m2.713s,0m2.681s,0m2.696s,0m2.671s,0m2.665s,0m2.685s,0m2.670s
Q4_2w_male.sql,0m2.709s,0m2.677s,0m2.675s,0m2.718s,0m2.711s,0m2.647s,0m2.708s,0m2.671s,0m2.687s,0m2.654s
Q4_3w_female.sql,0m2.791s,0m2.732s,0m2.748s,0m2.702s,0m2.713s,0m2.729s,0m2.721s,0m2.737s,0m2.749s,0m2.714s
Q4_3w_male.sql,0m2.718s,0m2.727s,0m2.708s,0m2.744s,0m2.728s,0m2.719s,0m2.700s,0m2.723s,0m2.703s,0m2.737s
