Q1_1w_female.sql,0m3.368s,0m3.352s,0m3.370s,0m3.317s,0m3.309s,0m3.260s,0m3.345s,0m3.279s,0m3.301s,0m3.343s
Q1_1w_male.sql,0m3.281s,0m3.302s,0m3.320s,0m3.296s,0m3.325s,0m3.274s,0m3.263s,0m3.306s,0m3.340s,0m3.292s
Q1_2w_female.sql,0m3.341s,0m3.336s,0m3.673s,0m3.364s,0m3.323s,0m3.316s,0m3.333s,0m3.272s,0m3.515s,0m3.293s
Q1_2w_male.sql,0m3.311s,0m3.319s,0m3.335s,0m3.306s,0m3.270s,0m3.320s,0m3.335s,0m3.284s,0m3.349s,0m3.284s
Q1_3w_female.sql,0m3.367s,0m3.454s,0m3.431s,0m3.415s,0m3.597s,0m3.502s,0m3.736s,0m3.491s,0m3.658s,0m3.637s
Q1_3w_male.sql,0m3.626s,0m3.646s,0m3.502s,0m3.468s,0m3.489s,0m3.449s,0m3.513s,0m3.511s,0m3.418s,0m3.502s
Q2_1w_female.sql,0m3.794s,0m3.734s,0m3.670s,0m3.779s,0m3.630s,0m3.711s,0m3.914s,0m3.661s,0m3.720s,0m3.741s
Q2_1w_male.sql,0m3.719s,0m3.697s,0m3.781s,0m3.831s,0m3.731s,0m3.699s,0m3.717s,0m3.639s,0m3.752s,0m3.853s
Q2_2w_female.sql,0m3.832s,0m3.801s,0m3.891s,0m3.829s,0m3.821s,0m3.942s,0m3.791s,0m3.816s,0m3.788s,0m3.849s
Q2_2w_male.sql,0m3.921s,0m3.822s,0m3.773s,0m3.831s,0m3.924s,0m3.875s,0m3.791s,0m3.731s,0m3.732s,0m3.797s
Q2_3w_female.sql,0m3.864s,0m3.844s,0m3.773s,0m3.786s,0m3.752s,0m3.795s,0m3.828s,0m3.741s,0m3.807s,0m3.771s
Q2_3w_male.sql,0m3.830s,0m3.804s,0m3.743s,0m3.782s,0m3.751s,0m3.768s,0m3.983s,0m3.761s,0m3.693s,0m3.749s
Q3_1w_female.sql,0m3.756s,0m3.796s,0m3.763s,0m3.772s,0m3.826s,0m3.808s,0m3.760s,0m3.763s,0m3.802s,0m3.772s
Q3_1w_male.sql,0m3.816s,0m3.764s,0m3.935s,0m3.902s,0m3.933s,0m3.964s,0m3.961s,0m3.852s,0m3.930s,0m3.839s
Q3_2w_female.sql,0m3.826s,0m3.850s,0m3.865s,0m3.971s,0m3.954s,0m4.041s,0m4.235s,0m4.659s,0m4.528s,0m4.023s
Q3_2w_male.sql,0m4.148s,0m3.997s,0m3.923s,0m3.944s,0m3.992s,0m3.998s,0m3.873s,0m3.923s,0m3.986s,0m3.923s
Q3_3w_female.sql,0m4.098s,0m3.866s,0m3.965s,0m3.889s,0m3.901s,0m3.890s,0m3.857s,0m3.958s,0m4.002s,0m3.928s
Q3_3w_male.sql,0m3.945s,0m4.017s,0m3.918s,0m3.985s,0m3.880s,0m4.067s,0m3.967s,0m4.027s,0m3.945s,0m3.939s
Q4_1w_female.sql,0m4.362s,0m4.166s,0m4.282s,0m4.175s,0m4.127s,0m4.229s,0m4.129s,0m4.157s,0m4.253s,0m4.197s
Q4_1w_male.sql,0m4.253s,0m4.228s,0m4.232s,0m4.270s,0m4.179s,0m4.235s,0m4.265s,0m4.331s,0m4.289s,0m4.233s
Q4_2w_female.sql,0m4.286s,0m4.253s,0m4.240s,0m4.266s,0m4.216s,0m4.207s,0m4.427s,0m4.204s,0m4.186s,0m4.261s
Q4_2w_male.sql,0m4.279s,0m4.382s,0m4.246s,0m4.386s,0m4.266s,0m4.197s,0m4.263s,0m4.254s,0m4.278s,0m4.341s
Q4_3w_female.sql,0m4.378s,0m4.307s,0m4.401s,0m4.328s,0m4.403s,0m4.213s,0m4.367s,0m4.369s,0m4.329s,0m4.324s
Q4_3w_male.sql,0m4.262s,0m4.310s,0m4.225s,0m4.357s,0m4.365s,0m4.377s,0m4.371s,0m4.330s,0m4.391s,0m4.283s
