Q1_1w_female.sql,0m3.146s,0m3.052s,0m3.088s,0m3.092s,0m3.073s,0m2.954s,0m3.075s,0m3.018s,0m3.153s,0m3.067s
Q1_1w_male.sql,0m3.116s,0m3.034s,0m3.013s,0m2.993s,0m3.018s,0m3.083s,0m3.129s,0m3.237s,0m3.061s,0m3.022s
Q1_2w_female.sql,0m3.194s,0m3.069s,0m3.017s,0m3.200s,0m3.168s,0m3.000s,0m3.187s,0m3.017s,0m3.128s,0m3.005s
Q1_2w_male.sql,0m3.155s,0m3.041s,0m3.096s,0m3.065s,0m3.148s,0m3.080s,0m3.007s,0m3.084s,0m3.036s,0m3.050s
Q1_3w_female.sql,0m3.153s,0m3.136s,0m3.070s,0m3.135s,0m3.215s,0m3.068s,0m3.136s,0m3.167s,0m3.102s,0m3.135s
Q1_3w_male.sql,0m3.307s,0m3.121s,0m3.133s,0m3.086s,0m3.209s,0m3.113s,0m3.141s,0m3.141s,0m3.161s,0m3.221s
Q2_1w_female.sql,0m2.403s,0m2.414s,0m2.292s,0m2.364s,0m2.400s,0m2.392s,0m2.369s,0m2.402s,0m2.428s,0m2.427s
Q2_1w_male.sql,0m2.373s,0m2.405s,0m2.400s,0m2.320s,0m2.328s,0m2.436s,0m2.418s,0m2.338s,0m2.443s,0m2.403s
Q2_2w_female.sql,0m2.464s,0m2.340s,0m2.492s,0m2.448s,0m2.494s,0m2.347s,0m2.436s,0m2.463s,0m2.365s,0m2.532s
Q2_2w_male.sql,0m2.454s,0m2.453s,0m2.376s,0m2.386s,0m2.356s,0m2.364s,0m2.378s,0m2.377s,0m2.409s,0m2.355s
Q2_3w_female.sql,0m2.448s,0m2.494s,0m2.533s,0m2.495s,0m2.485s,0m2.480s,0m2.420s,0m2.471s,0m2.405s,0m2.460s
Q2_3w_male.sql,0m2.492s,0m2.397s,0m2.374s,0m2.447s,0m2.462s,0m2.505s,0m2.419s,0m2.401s,0m2.503s,0m2.535s
Q3_1w_female.sql,0m2.606s,0m2.578s,0m2.594s,0m2.535s,0m2.587s,0m2.598s,0m2.551s,0m2.595s,0m2.559s,0m2.637s
Q3_1w_male.sql,0m2.657s,0m2.540s,0m2.586s,0m2.623s,0m2.612s,0m2.648s,0m2.599s,0m2.601s,0m2.550s,0m2.571s
Q3_2w_female.sql,0m2.647s,0m2.597s,0m2.724s,0m2.845s,0m2.758s,0m2.756s,0m2.853s,0m2.704s,0m2.688s,0m2.625s
Q3_2w_male.sql,0m2.641s,0m2.673s,0m2.688s,0m2.629s,0m2.608s,0m2.585s,0m2.584s,0m2.621s,0m2.610s,0m2.580s
Q3_3w_female.sql,0m2.718s,0m2.674s,0m2.645s,0m2.679s,0m2.694s,0m2.607s,0m2.700s,0m2.711s,0m2.710s,0m2.682s
Q3_3w_male.sql,0m2.754s,0m2.689s,0m2.631s,0m2.615s,0m2.696s,0m2.665s,0m2.656s,0m2.659s,0m2.631s,0m2.656s
Q4_1w_female.sql,0m2.130s,0m2.085s,0m2.125s,0m2.126s,0m2.049s,0m2.092s,0m2.057s,0m2.115s,0m2.077s,0m2.037s
Q4_1w_male.sql,0m2.109s,0m2.083s,0m2.091s,0m2.091s,0m2.092s,0m2.083s,0m2.103s,0m2.055s,0m2.087s,0m2.068s
Q4_2w_female.sql,0m2.191s,0m2.107s,0m2.106s,0m2.084s,0m2.124s,0m2.099s,0m2.147s,0m2.072s,0m2.128s,0m2.107s
Q4_2w_male.sql,0m2.187s,0m2.133s,0m2.090s,0m2.084s,0m2.101s,0m2.126s,0m2.115s,0m2.167s,0m2.101s,0m2.178s
Q4_3w_female.sql,0m2.167s,0m2.160s,0m2.175s,0m2.147s,0m2.129s,0m2.168s,0m2.152s,0m2.177s,0m2.160s,0m2.113s
Q4_3w_male.sql,0m2.183s,0m2.104s,0m2.167s,0m2.205s,0m2.282s,0m2.186s,0m2.222s,0m2.148s,0m2.126s,0m2.233s
