Q1_1w_female.sql,0m3.837s,0m3.833s,0m4.064s,0m3.723s,0m3.740s,0m3.841s,0m3.787s,0m3.729s,0m3.755s,0m3.746s
Q1_1w_male.sql,0m3.871s,0m3.757s,0m3.809s,0m4.041s,0m4.070s,0m3.849s,0m3.963s,0m3.909s,0m3.928s,0m3.971s
Q1_2w_female.sql,0m3.990s,0m3.978s,0m4.045s,0m3.891s,0m4.076s,0m3.946s,0m3.899s,0m3.855s,0m3.899s,0m3.963s
Q1_2w_male.sql,0m4.045s,0m3.920s,0m3.896s,0m3.894s,0m3.912s,0m3.930s,0m3.946s,0m3.877s,0m3.956s,0m3.941s
Q1_3w_female.sql,0m3.959s,0m3.891s,0m3.887s,0m3.890s,0m3.982s,0m3.994s,0m3.950s,0m3.907s,0m3.941s,0m4.064s
Q1_3w_male.sql,0m3.976s,0m3.914s,0m3.936s,0m3.903s,0m4.034s,0m4.009s,0m3.964s,0m4.004s,0m4.023s,0m3.938s
Q2_1w_female.sql,0m2.964s,0m2.869s,0m2.870s,0m2.929s,0m2.928s,0m3.018s,0m2.862s,0m2.911s,0m2.896s,0m2.875s
Q2_1w_male.sql,0m2.992s,0m2.855s,0m2.931s,0m2.972s,0m3.006s,0m3.092s,0m3.034s,0m3.060s,0m2.904s,0m2.872s
Q2_2w_female.sql,0m2.992s,0m2.911s,0m2.917s,0m2.977s,0m2.946s,0m2.974s,0m2.912s,0m2.974s,0m2.921s,0m2.965s
Q2_2w_male.sql,0m3.038s,0m2.943s,0m2.921s,0m2.874s,0m2.912s,0m2.942s,0m2.933s,0m2.967s,0m2.922s,0m3.022s
Q2_3w_female.sql,0m3.128s,0m2.999s,0m2.973s,0m2.992s,0m3.030s,0m2.919s,0m3.029s,0m2.918s,0m2.960s,0m3.020s
Q2_3w_male.sql,0m3.055s,0m2.876s,0m2.917s,0m2.947s,0m2.956s,0m2.910s,0m2.944s,0m2.936s,0m2.949s,0m2.976s
Q3_1w_female.sql,0m5.217s,0m5.092s,0m5.019s,0m5.108s,0m5.132s,0m5.120s,0m5.051s,0m5.142s,0m5.132s,0m5.010s
Q3_1w_male.sql,0m5.085s,0m5.058s,0m5.049s,0m5.056s,0m5.003s,0m5.093s,0m5.085s,0m5.047s,0m5.188s,0m5.115s
Q3_2w_female.sql,0m5.151s,0m5.171s,0m5.168s,0m5.113s,0m5.082s,0m5.113s,0m5.107s,0m5.159s,0m5.254s,0m5.075s
Q3_2w_male.sql,0m5.218s,0m5.210s,0m5.221s,0m5.187s,0m5.136s,0m5.393s,0m5.272s,0m5.192s,0m5.351s,0m5.118s
Q3_3w_female.sql,0m5.245s,0m5.123s,0m5.170s,0m5.130s,0m5.100s,0m5.181s,0m5.172s,0m5.152s,0m5.170s,0m5.153s
Q3_3w_male.sql,0m5.219s,0m5.152s,0m5.239s,0m5.258s,0m5.234s,0m5.165s,0m5.225s,0m5.178s,0m5.167s,0m5.159s
Q4_1w_female.sql,0m3.784s,0m3.749s,0m3.706s,0m3.745s,0m3.741s,0m3.690s,0m3.733s,0m3.884s,0m3.717s,0m3.722s
Q4_1w_male.sql,0m4.057s,0m3.703s,0m3.747s,0m3.749s,0m3.663s,0m3.697s,0m3.704s,0m3.728s,0m3.742s,0m3.739s
Q4_2w_female.sql,0m3.799s,0m3.705s,0m3.786s,0m3.788s,0m3.756s,0m3.761s,0m3.695s,0m3.745s,0m3.706s,0m3.865s
Q4_2w_male.sql,0m3.683s,0m3.761s,0m3.671s,0m3.725s,0m3.677s,0m3.685s,0m3.750s,0m3.730s,0m3.743s,0m3.671s
Q4_3w_female.sql,0m3.768s,0m3.729s,0m3.782s,0m3.722s,0m3.756s,0m3.727s,0m3.724s,0m3.759s,0m3.735s,0m3.699s
Q4_3w_male.sql,0m3.724s,0m3.737s,0m3.745s,0m3.708s,0m3.729s,0m3.725s,0m3.735s,0m3.785s,0m3.723s,0m3.723s
