Q1_1w_female.sql,0m6.715s,0m6.776s,0m6.562s,0m6.554s,0m6.389s,0m6.392s,0m6.489s,0m6.650s,0m6.617s,0m6.634s
Q1_1w_male.sql,0m6.641s,0m6.620s,0m6.523s,0m6.542s,0m6.507s,0m6.497s,0m6.651s,0m6.673s,0m6.459s,0m6.567s
Q1_2w_female.sql,0m6.690s,0m6.575s,0m6.713s,0m6.728s,0m6.551s,0m6.577s,0m6.712s,0m6.547s,0m6.714s,0m6.728s
Q1_2w_male.sql,0m6.691s,0m6.536s,0m6.553s,0m6.662s,0m6.494s,0m6.515s,0m6.655s,0m6.669s,0m6.631s,0m6.647s
Q1_3w_female.sql,0m6.692s,0m6.679s,0m6.747s,0m6.548s,0m6.701s,0m6.653s,0m6.657s,0m6.486s,0m6.453s,0m6.472s
Q1_3w_male.sql,0m6.515s,0m6.454s,0m6.481s,0m6.500s,0m6.537s,0m6.492s,0m6.552s,0m6.544s,0m6.585s,0m6.677s
Q2_1w_female.sql,0m3.945s,0m3.780s,0m3.723s,0m3.695s,0m3.766s,0m3.734s,0m3.758s,0m3.737s,0m3.726s,0m3.731s
Q2_1w_male.sql,0m3.748s,0m3.722s,0m3.766s,0m3.735s,0m3.838s,0m3.739s,0m3.808s,0m3.802s,0m3.751s,0m3.807s
Q2_2w_female.sql,0m4.024s,0m3.858s,0m3.966s,0m3.902s,0m3.806s,0m3.828s,0m3.902s,0m3.919s,0m3.844s,0m3.855s
Q2_2w_male.sql,0m3.806s,0m3.805s,0m3.861s,0m3.780s,0m3.850s,0m4.006s,0m3.842s,0m3.852s,0m3.891s,0m3.916s
Q2_3w_female.sql,0m3.943s,0m3.953s,0m3.914s,0m3.986s,0m3.954s,0m3.940s,0m3.960s,0m3.916s,0m3.972s,0m4.023s
Q2_3w_male.sql,0m3.996s,0m3.963s,0m3.926s,0m3.940s,0m3.959s,0m3.938s,0m4.015s,0m4.067s,0m3.887s,0m4.122s
Q3_1w_female.sql,0m8.538s,0m8.532s,0m8.330s,0m8.526s,0m8.413s,0m8.306s,0m8.399s,0m8.373s,0m8.497s,0m8.394s
Q3_1w_male.sql,0m8.350s,0m8.514s,0m8.459s,0m8.349s,0m8.413s,0m8.434s,0m8.350s,0m8.561s,0m8.296s,0m8.251s
Q3_2w_female.sql,0m8.386s,0m8.281s,0m8.336s,0m8.396s,0m8.355s,0m8.424s,0m8.550s,0m8.446s,0m8.616s,0m8.466s
Q3_2w_male.sql,0m8.561s,0m8.416s,0m8.402s,0m8.412s,0m8.376s,0m8.321s,0m8.322s,0m8.327s,0m8.347s,0m8.522s
Q3_3w_female.sql,0m8.478s,0m8.457s,0m8.388s,0m8.401s,0m8.526s,0m8.540s,0m8.499s,0m8.527s,0m8.556s,0m8.570s
Q3_3w_male.sql,0m8.520s,0m8.635s,0m8.539s,0m8.519s,0m8.521s,0m8.559s,0m8.580s,0m8.427s,0m8.432s,0m8.587s
Q4_1w_female.sql,0m4.625s,0m4.538s,0m4.676s,0m4.567s,0m4.477s,0m4.555s,0m4.485s,0m4.523s,0m4.547s,0m4.520s
Q4_1w_male.sql,0m4.486s,0m4.478s,0m4.467s,0m4.501s,0m4.498s,0m4.551s,0m4.508s,0m4.434s,0m4.617s,0m4.613s
Q4_2w_female.sql,0m4.487s,0m4.470s,0m4.502s,0m4.548s,0m4.601s,0m4.735s,0m4.588s,0m4.485s,0m4.511s,0m4.570s
Q4_2w_male.sql,0m4.530s,0m4.515s,0m4.510s,0m4.550s,0m4.582s,0m4.587s,0m4.569s,0m4.566s,0m4.556s,0m4.589s
Q4_3w_female.sql,0m4.640s,0m4.673s,0m4.691s,0m4.653s,0m4.594s,0m4.699s,0m4.791s,0m4.653s,0m4.684s,0m4.660s
Q4_3w_male.sql,0m4.721s,0m4.605s,0m4.612s,0m4.730s,0m4.724s,0m4.584s,0m4.730s,0m4.697s,0m4.700s,0m4.665s
