Q1_1w_female.sql,0m5.258s,0m5.173s,0m5.142s,0m4.992s,0m5.013s,0m5.039s,0m5.152s,0m5.017s,0m5.101s,0m5.113s
Q1_1w_male.sql,0m4.940s,0m5.033s,0m4.976s,0m5.048s,0m5.180s,0m5.194s,0m5.320s,0m5.258s,0m4.940s,0m5.167s
Q1_2w_female.sql,0m5.382s,0m5.238s,0m5.311s,0m5.161s,0m5.068s,0m5.019s,0m5.055s,0m5.037s,0m5.080s,0m5.318s
Q1_2w_male.sql,0m5.087s,0m5.082s,0m5.126s,0m5.033s,0m5.053s,0m4.997s,0m5.054s,0m4.984s,0m5.022s,0m4.992s
Q1_3w_female.sql,0m5.157s,0m5.058s,0m5.068s,0m5.041s,0m5.067s,0m5.058s,0m5.114s,0m5.241s,0m5.236s,0m5.404s
Q1_3w_male.sql,0m5.398s,0m5.445s,0m5.427s,0m5.245s,0m5.303s,0m5.555s,0m5.271s,0m5.323s,0m5.189s,0m5.200s
Q2_1w_female.sql,0m3.236s,0m3.218s,0m3.228s,0m3.214s,0m3.272s,0m3.191s,0m3.186s,0m3.241s,0m3.202s,0m3.230s
Q2_1w_male.sql,0m3.232s,0m3.219s,0m3.212s,0m3.202s,0m3.200s,0m3.174s,0m3.186s,0m3.206s,0m3.212s,0m3.178s
Q2_2w_female.sql,0m3.267s,0m3.256s,0m3.299s,0m3.257s,0m3.260s,0m3.260s,0m3.296s,0m3.295s,0m3.337s,0m3.293s
Q2_2w_male.sql,0m3.253s,0m3.292s,0m3.259s,0m3.259s,0m3.310s,0m3.247s,0m3.275s,0m3.292s,0m3.257s,0m3.241s
Q2_3w_female.sql,0m3.371s,0m3.340s,0m3.407s,0m3.391s,0m3.344s,0m3.386s,0m3.376s,0m3.391s,0m3.341s,0m3.339s
Q2_3w_male.sql,0m3.353s,0m3.474s,0m3.403s,0m3.321s,0m3.455s,0m3.477s,0m3.379s,0m3.366s,0m3.353s,0m3.329s
Q3_1w_female.sql,0m4.183s,0m4.152s,0m4.250s,0m4.170s,0m4.266s,0m4.166s,0m4.162s,0m4.184s,0m4.169s,0m4.195s
Q3_1w_male.sql,0m4.152s,0m4.159s,0m4.152s,0m4.140s,0m4.306s,0m4.227s,0m4.193s,0m4.167s,0m4.183s,0m4.228s
Q3_2w_female.sql,0m4.234s,0m4.223s,0m4.165s,0m4.199s,0m4.219s,0m4.338s,0m4.549s,0m4.425s,0m4.281s,0m4.274s
Q3_2w_male.sql,0m4.322s,0m4.281s,0m4.296s,0m4.218s,0m4.231s,0m4.229s,0m4.295s,0m4.340s,0m4.300s,0m4.339s
Q3_3w_female.sql,0m4.383s,0m4.416s,0m4.396s,0m4.623s,0m4.429s,0m4.617s,0m4.702s,0m4.578s,0m4.445s,0m4.712s
Q3_3w_male.sql,0m4.587s,0m4.579s,0m4.569s,0m4.556s,0m4.583s,0m4.660s,0m4.571s,0m4.403s,0m4.431s,0m4.471s
Q4_1w_female.sql,0m3.151s,0m3.248s,0m3.109s,0m3.184s,0m3.182s,0m3.126s,0m3.148s,0m3.123s,0m3.152s,0m3.134s
Q4_1w_male.sql,0m3.173s,0m3.098s,0m3.111s,0m3.091s,0m3.093s,0m3.142s,0m3.126s,0m3.165s,0m3.083s,0m3.105s
Q4_2w_female.sql,0m3.234s,0m3.166s,0m3.206s,0m3.222s,0m3.186s,0m3.196s,0m3.182s,0m3.186s,0m3.274s,0m3.313s
Q4_2w_male.sql,0m3.278s,0m3.294s,0m3.251s,0m3.279s,0m3.345s,0m3.268s,0m3.223s,0m3.313s,0m3.277s,0m3.244s
Q4_3w_female.sql,0m3.304s,0m3.357s,0m3.329s,0m3.266s,0m3.238s,0m3.234s,0m3.332s,0m3.220s,0m3.216s,0m3.239s
Q4_3w_male.sql,0m3.293s,0m3.336s,0m3.356s,0m3.309s,0m3.422s,0m3.281s,0m3.279s,0m3.275s,0m3.347s,0m3.324s
